id_siniestro,id_poliza,id_asegurado,ramo,placa,cobertura,fecha_ocurrencia,fecha_reporte,dias_ocurrencia_reporte,monto_reclamado,monto_estimado,monto_pagado,estado,sucursal,id_proveedor,descripcion,docs_completos,proveedor_lista_restrictiva,dias_desde_inicio_poliza,dias_hasta_fin_poliza,historial_siniestros_asegurado,suma_asegurada,similitud_narrativa,numero_parte_policial,fecha_inicio_poliza,fecha_fin_poliza,prima_anual,canal_venta,estado_poliza,nombres_asegurado,segmento,ciudad,antiguedad_anios,n_polizas_activas,n_reclamos_12_meses,n_reclamos_historico,reclamos_rc_sin_tercero,perfil_riesgo_historico,nombre_proveedor,tipo_proveedor,ciudad_proveedor,n_siniestros_proveedor,proveedor_en_lista_restrictiva,motivo_restriccion,promedio_monto_proveedor,cantidad_documentos,cantidad_declaraciones,cantidad_denuncia_policial,cantidad_exámenes,cantidad_facturas,cantidad_factura_de_reparacion,cantidad_factura_hospitalaria,cantidad_fotografías,cantidad_fotografías_del_daño,cantidad_historia_clínica,cantidad_informe_tecnico,cantidad_orden_medica,cantidad_partes_policiales,cantidad_peritaje,ratio_monto_suma,delta_monto_proveedor,alerta_borde_inicio,alerta_borde_fin,reporte_tardio,narrativa_similar,narrativa_clonada,doc_factura_alterada,doc_ruc_invalido,doc_caso_fraude,doc_caso_inconsistente,doc_parte_tardio_dias,doc_sin_denuncia_previa,doc_robo,doc_perdida_total,doc_flagrancia,doc_lesionados,doc_detenidos,doc_tercero_identificado,doc_sin_testigos,doc_sin_intervencion,doc_hora_accidente,doc_fecha_factura_min,n_pdfs_extraidos,tipos_pdf,doc_parte_tardio,alerta_similitud_sin_testigos,alerta_robo_sin_denuncia,alerta_proveedor_fraude_documental,score_documental_raw,nlp_freq_descripcion,nlp_descripcion_rara,nlp_descripcion_comun,nlp_grupo_id,nlp_sim_entre_grupos,nlp_cluster_fraude,nlp_score,nlp_valida_excel
SIN-0011,POL-0011,ASEG-0160,Hogar,,Incendio,2024-04-26,2024-05-01,5,13876,13695,0,Reserva,Manta,PROV-016,Incendio en cocina con informe de bomberos.,True,False,52,313,0,30000,0.15,,2024-03-05,2025-03-05,821,Bancaseguros,Expirada,Jiménez Vargas Patricia Elena,Natural,Quito,0,3,1,2,2,Medio,Técnicos del Hogar Cía.,Servicios,Cuenca,16,False,No,,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4625,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,7,False,False,8,0.1021,-1,13.5,True
SIN-0012,POL-0012,ASEG-0080,Hogar,,Rotura de Cristales,2024-09-18,2024-09-20,2,11694,12231,0,Reserva,Ibarra,PROV-019,Siniestro reportado con documentación.,True,False,58,307,0,40000,0.28,,2024-07-22,2025-07-22,831,Digital,Expirada,Morales Freire Byron Rodrigo,Natural,Cuenca,8,1,1,3,2,Medio,Reparaciones Norte Ecuador,Servicios,Esmeraldas,10,False,No,,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0.2924,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,70,False,True,9,0.0,-1,49.6,False
SIN-0013,POL-0013,ASEG-0018,Vehículos,LOJ-1847,Robo de Accesorios,2024-09-08,2024-09-10,2,5026,4723,4256,Pago Total,Loja,TALLER-020,Robo de accesorios en zona residencial.,True,False,245,120,0,22000,0.27,,2024-01-07,2025-01-06,649,Digital,Expirada,Castro Villafuerte Sandra Cristina,Natural,Portoviejo,6,1,0,4,1,Alto,Taller Quito Sur Cía.,Automotriz,Guayaquil,24,False,No,,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2285,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,16,False,True,7,0.1055,-1,25.8,False
SIN-0014,POL-0014,ASEG-0083,Vehículos,AZY-8812,Robo,2025-01-31,2025-02-01,1,9722,9174,8306,Pago Total,Guayaquil,TALLER-013,Robo con violencia en domicilio.,True,False,254,111,0,25000,0.06,,2024-05-22,2025-05-22,535,Bancaseguros,Expirada,Ortega Suárez Héctor Guillermo,Natural,Riobamba,3,2,3,3,0,Medio,Taller Chimborazo Express,Automotriz,Loja,25,False,No,,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0.3889,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,30,False,True,4,0.1055,-1,17.1,False
SIN-0015,POL-0015,ASEG-0143,Salud,,Hospitalización,2024-10-07,2024-10-09,2,6637,6492,5726,Pago Total,Esmeraldas,HOSP-002,Hospitalización de emergencia por apendicitis.,True,False,183,182,0,20000,0.17,,2024-04-07,2025-04-07,428,Agente,Expirada,Núñez Andrade Verónica Paola,Natural,Riobamba,5,2,5,5,0,Alto,Hospital Metropolitano Quito,Salud,Quito,3,False,No,,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0.3318,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,4,False,False,10,0.14,-1,13.6,True
SIN-0016,POL-0016,ASEG-0079,Vehículos,AZY-2918,Cristales,2025-02-21,2025-02-22,1,3776,3597,3217,Liquidado,Portoviejo,TALLER-013,Parabrisas fisurado en autopista.,True,False,229,136,0,25000,0.23,,2024-07-07,2025-07-07,644,Bancaseguros,Expirada,Herrera Salinas Jorge Enrique,Natural,Guayaquil,1,1,1,1,0,Bajo,Taller Chimborazo Express,Automotriz,Loja,25,False,No,,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0.151,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,14,False,True,11,0.1435,-1,22.1,False
SIN-0017,POL-0017,ASEG-0050,Hogar,,Incendio,2024-07-17,2024-07-17,0,14231,13903,0,Reserva,Riobamba,PROV-018,Incendio en cocina con informe de bomberos.,True,False,57,308,0,40000,0.21,,2024-05-21,2025-05-21,1050,Broker,Expirada,Vega Montoya Fanny Lorena,Natural,Loja,3,2,3,6,1,Alto,Hogar Seguro S.A.,Servicios,Ambato,17,False,No,,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0.3558,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,7,False,False,8,0.1021,-1,17.7,True
SIN-0018,POL-0018,ASEG-0179,Vehículos,PDO-1029,Robo,2024-12-03,2024-12-04,1,488,508,476,Liquidado,Riobamba,TALLER-016,Robo de joyas y equipos electrónicos.,True,False,285,80,0,8000,0.1,,2024-02-22,2025-02-21,208,Broker,Expirada,Mendoza Ríos Marco Vinicio,Natural,Riobamba,5,3,0,2,1,Medio,Servicio Técnico Loja,Automotriz,Ibarra,20,False,No,,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0.061,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,24,False,True,12,0.1055,-1,17.3,False
SIN-0019,POL-0019,ASEG-0039,Vehículos,PIC-9182,Robo,2025-03-04,2025-03-06,2,2935,2996,2773,Pago Total,Portoviejo,TALLER-012,Sustracción de bienes durante ausencia del hogar.,True,False,273,92,0,10000,0.2,,2024-06-04,2025-06-04,319,Broker,Expirada,Silva Intriago Katherine Noemi,Natural,Ambato,7,1,3,8,2,Alto,Serviautos Litoral,Automotriz,Riobamba,23,False,No,,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0.2935,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,36,False,True,13,0.1176,-1,29.4,False
SIN-0020,POL-0020,ASEG-0146,Vehículos,AZY-6647,Robo de Accesorios,2025-04-25,2025-04-26,1,1043,983,873,Liquidado,Quito,TALLER-017,Robo de airbags y pantalla en parqueadero.,True,False,168,197,0,10000,0.22,,2024-11-08,2025-11-08,313,Broker,Expirada,Ramos Loor Freddy Oswaldo,Natural,Riobamba,8,1,1,2,0,Medio,Mecánica Manabí,Automotriz,Ibarra,19,False,No,,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0.1043,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,18,False,True,2,0.1055,-1,23.1,False
SIN-0021,POL-0021,ASEG-0075,Salud,,Hospitalización,2024-07-11,2024-07-16,5,48514,35957,0,Investigación,Manta,PROV-020,Hospitalización por cuadro febril agudo.,False,True,45,320,0,80000,0.33,,2024-05-27,2025-05-27,1757,Digital,Expirada,Aguirre Bermeo Liliana Alexandra,Natural,Portoviejo,3,2,1,6,2,Alto,Servicios Generales GYE,Servicios,Esmeraldas,17,False,No,,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0.6064,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,9,False,False,14,0.14,-1,27.0,True
SIN-0022,POL-0022,ASEG-0037,Vehículos,PIC-7293,Choque,2024-04-11,2024-04-13,2,10352,6709,0,Investigación,Quito,TALLER-999,"Accidente múltiple de madrugada, daños en carrocería.",False,True,17,348,0,18000,0.31,PTACP20260183492,2024-03-25,2025-03-25,474,Agente,Expirada,Carrillo Cabrera Patricio German,Natural,Loja,6,1,0,2,2,Medio,Taller No Registrado — Asociado a red de fraude,Automotriz,Portoviejo,12,True,Sí,,4,0,0,0,1,1,0,0,0,0,0,0,1,1,0.5751,,True,False,False,False,False,True,True,True,False,17.0,False,False,False,False,False,False,False,False,False,False,True,2,Factura|Parte Policial,True,False,False,True,85.0,20,False,True,15,0.0942,-1,30.3,False
SIN-0023,POL-0023,ASEG-0007,Vehículos,PIC-2847,Choque,2025-06-26,2025-06-28,2,10502,10304,9873,Pago Total,Manta,TALLER-006,"Golpe trasero en cola de tráfico, testigos presentes.",True,False,197,168,0,30000,0.06,,2024-12-11,2025-12-11,787,Digital,Expirada,Gutiérrez Moreta Diana Fernanda,Natural,Manta,3,1,1,1,1,Bajo,Auto Service Quito Norte,Automotriz,Guayaquil,15,False,No,,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.3501,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,19,False,True,0,0.0752,-1,12.3,False
SIN-0024,POL-0024,ASEG-0024,Hogar,,Daño Estructural,2024-12-17,2024-12-18,1,6078,6115,5675,Liquidado,Loja,PROV-021,Siniestro reportado con documentación.,True,False,142,223,0,25000,0.15,,2024-07-28,2025-07-28,562,Broker,Expirada,Vargas Andrade William Alexis,Natural,Ambato,6,2,6,6,0,Alto,Reparaciones Tungurahua,Servicios,Cuenca,17,False,No,,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0.2431,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,70,False,True,9,0.0,-1,40.5,False
SIN-0025,POL-0025,ASEG-0083,Vehículos,TNB-4918,Choque,2025-06-18,2025-06-18,0,1506,1533,1464,Liquidado,Ibarra,TALLER-007,Impacto lateral en intersección con semáforo.,True,False,271,94,1,8000,0.1,,2024-09-20,2025-09-20,218,Bancaseguros,Expirada,Ortega Suárez Héctor Guillermo,Natural,Riobamba,3,2,3,3,0,Medio,Multiservicios Automotrices EC,Automotriz,Ambato,17,False,No,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1882,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,13,False,True,3,0.208,-1,12.6,False
SIN-0026,POL-0026,ASEG-0113,Salud,,Urgencias,2024-06-04,2024-06-05,1,21313,19866,19847,Liquidado,Guayaquil,HOSP-004,Siniestro reportado con documentación.,True,False,141,224,0,80000,0.19,,2024-01-15,2025-01-14,2122,Broker,Expirada,Mora Loza Adriana Marcela,Natural,Guayaquil,1,1,5,5,0,Alto,Hospital Básico Guayaquil,Salud,Loja,5,False,No,,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0.2664,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,70,False,True,9,0.0,-1,43.3,False
SIN-0027,POL-0027,ASEG-0184,Vehículos,CHB-5523,Responsabilidad Civil,2025-10-24,2025-10-24,0,1787,1688,1606,Liquidado,Esmeraldas,TALLER-003,Accidente en vía rápida con daño a tercero.,True,False,301,64,0,18000,0.16,,2024-12-27,2025-12-27,429,Bancaseguros,Expirada,Naranjo Velasco Edwin Patricio,Natural,Riobamba,1,2,1,2,1,Medio,Mecánica Imbabura S.A.,Automotriz,Manta,26,False,No,,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0993,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,13,False,True,16,0.096,-1,16.8,False
SIN-0028,POL-0028,ASEG-0130,Vehículos,PIC-1234,Responsabilidad Civil,2024-08-20,2024-08-26,6,7977,7465,0,Pago Parcial,Quito,TALLER-013,Colisión en rotonda con vehículo de tercero.,True,False,88,277,0,18000,0.2,,2024-05-24,2025-05-24,535,Agente,Expirada,Espinoza Rueda Cinthya Dayana,Natural,Ambato,3,3,1,2,2,Medio,Taller Chimborazo Express,Automotriz,Loja,25,False,No,,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0.4432,,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,15.0,15,False,True,6,0.1095,-1,20.4,False
SIN-0029,POL-0029,ASEG-0147,Vehículos,TNB-1029,Pérdida Total,2025-04-25,2025-04-28,3,12933,11419,0,Reserva,Manta,TALLER-018,Vehículo totalmente siniestrado en volcamiento.,True,False,83,282,0,22000,0.14,,2025-02-01,2026-02-01,409,Broker,Expirada,Brito Ordóñez Henry Omar,Natural,Loja,1,2,1,4,0,Alto,Automotriz Ambato Central,Automotriz,Ibarra,15,False,No,,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0.5879,,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,15.0,17,False,True,17,0.0928,-1,17.1,False
SIN-0030,POL-0030,ASEG-0004,Vehículos,MNT-7384,Cristales,2024-10-06,2024-10-08,2,4379,4241,0,Investigación,Cuenca,TALLER-016,Parabrisas fisurado en autopista.,False,False,70,295,0,12000,0.57,,2024-07-28,2025-07-28,229,Broker,Expirada,Pacheco Vélez Gloria Susana,Natural,Ibarra,3,2,4,7,0,Alto,Servicio Técnico Loja,Automotriz,Ibarra,20,False,No,,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0.3649,,False,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,15.0,14,False,True,11,0.1435,-1,45.9,False
SIN-0031,POL-0031,ASEG-0139,Vehículos,CHB-9918,Choque,2024-02-13,2024-02-16,3,11848,6988,0,Investigación,Portoviejo,TALLER-002,"Accidente múltiple de madrugada, daños en carrocería.",False,False,8,357,0,15000,0.4,,2024-02-05,2025-02-04,403,Broker,Expirada,Delgado Cevallos Iván Rodrigo,Natural,Cuenca,8,3,1,1,1,Bajo,Automotriz Centro Sur,Automotriz,Cuenca,23,False,No,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7899,,True,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,20,False,True,15,0.0942,-1,36.6,False
SIN-0032,POL-0032,ASEG-0111,Vehículos,LOJ-8834,Robo,2024-10-28,2024-10-30,2,10271,8835,0,Investigación,Manta,TALLER-005,Sustracción de bienes durante ausencia del hogar.,True,False,30,335,0,22000,0.36,,2024-09-28,2025-09-28,570,Broker,Expirada,Cabrera Yépez Marcelo Javier,Natural,Portoviejo,5,3,2,2,1,Medio,Taller Portuario Guayaquil,Automotriz,Portoviejo,21,False,No,,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0.4669,,True,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,15.0,36,False,True,13,0.1176,-1,40.6,False
SIN-0033,POL-0033,ASEG-0118,Vehículos,MNT-5834,Responsabilidad Civil,2025-06-08,2025-06-09,1,2927,3058,2944,Pago Total,Quito,TALLER-012,Accidente en vía rápida con daño a tercero.,True,False,286,79,0,18000,0.3,,2024-08-26,2025-08-26,495,Agente,Expirada,Salcedo Ponce Margoth Elizabeth,Natural,Manta,8,3,3,3,0,Medio,Serviautos Litoral,Automotriz,Riobamba,23,False,No,,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0.1626,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,13,False,True,16,0.096,-1,26.6,False
SIN-0034,POL-0034,ASEG-0028,Vehículos,CHB-5523,Robo,2024-11-01,2024-11-09,8,11961,8441,0,Reserva,Ibarra,TALLER-002,Sustracción de bienes durante ausencia del hogar.,False,False,13,352,0,20000,0.57,,2024-10-19,2025-10-19,521,Broker,Expirada,Núñez Villafuerte Diego Sebastián,Natural,Loja,2,2,0,5,2,Alto,Automotriz Centro Sur,Automotriz,Cuenca,23,False,No,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.598,,True,False,True,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,36,False,True,13,0.1176,-1,55.3,False
SIN-0035,POL-0035,ASEG-0156,Vehículos,SDO-1847,Responsabilidad Civil,2024-12-05,2024-12-05,0,7143,6266,0,Pago Parcial,Manta,TALLER-002,Raspón lateral a vehículo estacionado.,True,False,14,351,0,15000,0.37,,2024-11-21,2025-11-21,400,Bancaseguros,Expirada,Palacios Andrade Cristóbal Sebastián,Natural,Riobamba,7,1,0,1,0,Bajo,Automotriz Centro Sur,Automotriz,Cuenca,23,False,No,,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0.4762,,True,False,False,False,False,False,False,False,True,,False,False,False,False,False,False,False,False,False,False,True,1,Factura,False,False,False,False,15.0,12,False,True,18,0.1083,-1,31.0,False
SIN-0036,POL-0036,ASEG-0024,Vehículos,CHB-5523,Responsabilidad Civil,2025-09-21,2025-09-23,2,3338,3142,3109,Pago Total,Loja,TALLER-012,Raspón lateral a vehículo estacionado.,True,False,247,118,1,22000,0.18,,2025-01-17,2026-01-17,450,Agente,Expirada,Vargas Andrade William Alexis,Natural,Ambato,6,2,6,6,0,Alto,Serviautos Litoral,Automotriz,Riobamba,23,False,No,,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0.1517,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,0,,False,False,False,False,0.0,12,False,True,18,0.1083,-1,17.7,False
